テクスチャ,英語,日本語
materials/signs/hotel_sign004,KITCHEN,台所
materials/signs/hotel_sign004,SECURITY,警備
materials/signs/sign_gunshop,WHITAKER’S,ウィテカー
materials/signs/sign_gunshop,GUN SHOP,ガン・ショップ
materials/signs/sign_hotel_facemask01,WEAR FACE MASK AT ALL TIMES,常にマスクを着用してください
materials/signs/sign_hotel_facemask01,DO NOT REMOVE YOUR FACE MASK FOR ANY REASON.,どのような理由があっても、決してマスクを外さないでください。
materials/signs/sign_hotel_facemask01,"IF YOU REQUIRE ASSISTANCE, PLEASE ASK A CEDA STAFF MEMBER TO HELP YOU.",手助けが必要な場合はCEDAのスタッフにお声をおかけください。
materials/signs/sign_hotel_patients,PLEASE NOTE,注意
materials/signs/sign_hotel_patients,YOU MUST BE ENTERED INTO OUR PATIENT TRACKING SYSTEM TO RECEIVE CARE AT THIS FACILITY.,当施設で医療措置を受けるためには患者位置把握装置を身につけていただく必要があります。
materials/signs/sign_hotel_timetable,MEDICAL TRANSPORT TIMETABLE,医療輸送予定表
materials/signs/sign_hotel_timetable,2 CEDA EVWS PERSONNEL MUST ACCOMPANY EVERY TRANSPORT VEHICLE.,全ての輸送車両には２名のCEDA職員の同乗が必要です。
materials/signs/sign_misc_21,CLOSED,閉店
